IATA Code,Airport,City,COUNTRY,CONTINENT
BGI,Grantley Adams International Airport,Bridgetown,Barbados,AMERICAS - CARIBBEAN
EIS,Terrance B. Lettsome International Airport,Road Town,British Virgin Islands,AMERICAS - CARIBBEAN
BON,Flamingo International Airport,"Kralendijk, Bonaire",Caribbean Netherlands,AMERICAS - CARIBBEAN
EUX,F. D. Roosevelt Airport,"Oranjestad, Sint Eustatius",Caribbean Netherlands,AMERICAS - CARIBBEAN
SAB,Juancho E. Yrausquin Airport,Saba,Caribbean Netherlands,AMERICAS - CARIBBEAN
CYB,Charles Kirkconnell International Airport,Cayman Brac,Cayman Islands,AMERICAS - CARIBBEAN
GCM,Owen Roberts International Airport,Georgetown,Cayman Islands,AMERICAS - CARIBBEAN
CMW,Ignacio Agramonte International Airport,Camagüey,Cuba,AMERICAS - CARIBBEAN
CCC,Jardines del Rey Airport,Cayo Coco,Cuba,AMERICAS - CARIBBEAN
CYO,Vilo Acuña Airport,Cayo Largo del Sur,Cuba,AMERICAS - CARIBBEAN
CFG,Jaime González Airport,Cienfuegos,Cuba,AMERICAS - CARIBBEAN
HAV,José Martí International Airport,Havana,Cuba,AMERICAS - CARIBBEAN
HOG,Frank País Airport,Holguín,Cuba,AMERICAS - CARIBBEAN
SNU,Abel Santamaría Airport,Santa Clara,Cuba,AMERICAS - CARIBBEAN
SCU,Antonio Maceo Airport,Santiago de Cuba,Cuba,AMERICAS - CARIBBEAN
VRA,Juan Gualberto Gómez Airport,Varadero,Cuba,AMERICAS - CARIBBEAN
CUR,Curaçao International Airport,Willemstad,Curaçao,AMERICAS - CARIBBEAN
DOM,Douglas–Charles Airport,Roseau,Dominica,AMERICAS - CARIBBEAN
BRX,María Montez International Airport,Barahona,Dominican Republic,AMERICAS - CARIBBEAN
LRM,La Romana International Airport,La Romana,Dominican Republic,AMERICAS - CARIBBEAN
PUJ,Punta Cana International Airport,Punta Cana,Dominican Republic,AMERICAS - CARIBBEAN
AZS,Samaná El Catey International Airport,Samana,Dominican Republic,AMERICAS - CARIBBEAN
POP,Gregorio Luperón International Airport,San Felipe de Puerto Plata,Dominican Republic,AMERICAS - CARIBBEAN
STI,Cibao International Airport,Santiago de los Caballeros,Dominican Republic,AMERICAS - CARIBBEAN
SDQ,Las Américas International Airport,Santo Domingo,Dominican Republic,AMERICAS - CARIBBEAN
GND,Maurice Bishop International Airport,Grenada,Grenada,AMERICAS - CARIBBEAN
PTP,Pointe-à-Pitre International Airport,Pointe-à-Pitre,Guadeloupe,AMERICAS - CARIBBEAN
CAP,Cap-Haïtien International Airport,Cap-Haïtien,Haiti,AMERICAS - CARIBBEAN
PAP,Toussaint Louverture International Airport,Port-au-Prince,Haiti,AMERICAS - CARIBBEAN
KIN,Norman Manley International Airport,Kingston,Jamaica,AMERICAS - CARIBBEAN
MBJ,Sangster International Airport,Montego Bay,Jamaica,AMERICAS - CARIBBEAN
FDF,Martinique Aimé Césaire International Airport,Fort-de-France,Martinique,AMERICAS - CARIBBEAN
MNI,John A. Osborne Airport,Brades,Montserrat,AMERICAS - CARIBBEAN
BQN,Rafael Hernández Airport,Aguadilla,Puerto Rico,AMERICAS - CARIBBEAN
SJU,Luis Muñoz Marín International Airport,San Juan,Puerto Rico,AMERICAS - CARIBBEAN
SBH,Gustaf III Airport,Saint Jean,Saint Barthélemy,AMERICAS - CARIBBEAN
SKB,Robert L. Bradshaw International Airport,Saint Kitts,Saint Kitts and Nevis,AMERICAS - CARIBBEAN
UVF,Hewanorra International Airport,Vieux Fort Quarter,Saint Lucia,AMERICAS - CARIBBEAN
SVD,Argyle International Airport,Kingstown,Saint Vincent and the Grenadines,AMERICAS - CARIBBEAN
CIW,Canouan Airport,Canouan,Saint Vincent and the Grenadines,AMERICAS - CARIBBEAN
SXM,Princess Juliana International Airport,Philipsburg,Sint Maarten,AMERICAS - CARIBBEAN
POS,Piarco International Airport,Port of Spain,Trinidad and Tobago,AMERICAS - CARIBBEAN
TAB,A.N.R. Robinson International Airport,Tobago,Trinidad and Tobago,AMERICAS - CARIBBEAN
PLS,Providenciales Airport,Providenciales,Turks and Caicos Islands,AMERICAS - CARIBBEAN
STT,Cyril E. King Airport,Saint Thomas,U.S. Virgin Islands,AMERICAS - CARIBBEAN
STX,Henry E. Rohlsen Airport,Saint Croix,U.S. Virgin Islands,AMERICAS - CARIBBEAN
BZE,Philip S. W. Goldson International Airport,Belize City,Belize,CENTRAL AMERICA
LIR,Daniel Oduber Quirós International Airport,Liberia,Costa Rica,CENTRAL AMERICA
SJO,Juan Santamaría International Airport,San José,Costa Rica,CENTRAL AMERICA
SAL,El Salvador International Airport,San Salvador,El Salvador,CENTRAL AMERICA
FRS,Mundo Maya International Airport,Flores,Guatemala,CENTRAL AMERICA
GUA,La Aurora International Airport,Guatemala City,Guatemala,CENTRAL AMERICA
LCE,Golosón International Airport,La Ceiba,Honduras,CENTRAL AMERICA
RTB,Juan Manuel Gálvez International Airport,Roatán,Honduras,CENTRAL AMERICA
SAP,Ramón Villeda Morales International Airport,San Pedro Sula,Honduras,CENTRAL AMERICA
TGU,Toncontín International Airport,Tegucigalpa,Honduras,CENTRAL AMERICA
XPL,Comayagua International Airport,Comayagua,Honduras,CENTRAL AMERICA
MGA,Augusto C. Sandino International Airport,Managua,Nicaragua,CENTRAL AMERICA
BEF,Bluefields Airport,Bluefields,Nicaragua,CENTRAL AMERICA
RNI,Corn Island Airport,Corn Island,Nicaragua,CENTRAL AMERICA
BOC,"Bocas del Toro ""Isla Colón"" International Airport",Bocas del Toro,Panama,CENTRAL AMERICA
DAV,Enrique Malek International Airport,"David, Chiriquí",Panama,CENTRAL AMERICA
PAC,"Albrook ""Marcos A. Gelabert"" International Airport",Panama City,Panama,CENTRAL AMERICA
BLB,Panama Pacifico International Airport,Panama City,Panama,CENTRAL AMERICA
PTY,Tocumen International Airport,Panama City,Panama,CENTRAL AMERICA
RIH,Scarlett Martínez International Airport,Rio Hato,Panama,CENTRAL AMERICA
BDA,L.F. Wade International Airport,St. George's,Bermuda,NORTH AMERICA
YXX,Abbotsford International Airport,Abbotsford,Canada,NORTH AMERICA
YYC,Calgary International Airport,Calgary,Canada,NORTH AMERICA
YEG,Edmonton International Airport,Edmonton,Canada,NORTH AMERICA
YFC,Fredericton International Airport,Fredericton,Canada,NORTH AMERICA
YQX,Gander International Airport,Gander,Canada,NORTH AMERICA
YHZ,Halifax Stanfield International Airport,Halifax (Goffs),Canada,NORTH AMERICA
YHM,John C. Munro Hamilton International Airport,Hamilton,Canada,NORTH AMERICA
YLW,Kelowna International Airport,Kelowna,Canada,NORTH AMERICA
YKF,Region of Waterloo International Airport,Kitchener–Waterloo,Canada,NORTH AMERICA
YXU,London International Airport,London,Canada,NORTH AMERICA
YQM,Greater Moncton Roméo LeBlanc International Airport,Moncton (Dieppe),Canada,NORTH AMERICA
YUL,Montréal–Trudeau International Airport,Montreal (Dorval),Canada,NORTH AMERICA
YOW,Ottawa Macdonald–Cartier International Airport,Ottawa,Canada,NORTH AMERICA
YQB,Québec City Jean Lesage International Airport,Quebec City,Canada,NORTH AMERICA
YQR,Regina International Airport,Regina,Canada,NORTH AMERICA
YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,NORTH AMERICA
YYT,St. John's International Airport,St. John's,Canada,NORTH AMERICA
YYZ,Toronto Pearson International Airport,Toronto (Mississauga),Canada,NORTH AMERICA
YVR,Vancouver International Airport,Vancouver (Richmond),Canada,NORTH AMERICA
YYJ,Victoria International Airport,Victoria,Canada,NORTH AMERICA
YXY,Erik Nielsen Whitehorse International Airport,Whitehorse,Canada,NORTH AMERICA
YQC,Windsor International Airport,Windsor,Canada,NORTH AMERICA
YWG,Winnipeg James Armstrong Richardson International Airport,Winnipeg,Canada,NORTH AMERICA
SFJ,Kangerlussuaq Airport,Kangerlussuaq,Greenland,NORTH AMERICA
GOH,Nuuk Airport,Nuuk,Greenland,NORTH AMERICA
JAV,Ilulissat Airport,Ilulissat,Greenland,NORTH AMERICA
UAK,Narsarsuaq Airport,Narsarsuaq,Greenland,NORTH AMERICA
ACA,Acapulco International Airport,Acapulco,Mexico,NORTH AMERICA
AGU,Aguascalientes International Airport,Aguascalientes,Mexico,NORTH AMERICA
CUN,Cancún International Airport,Cancún,Mexico,NORTH AMERICA
CUU,Chihuahua International Airport,Chihuahua City,Mexico,NORTH AMERICA
CME,Ciudad del Carmen International Airport,Ciudad del Carmen,Mexico,NORTH AMERICA
CZM,Cozumel International Airport,Cozumel,Mexico,NORTH AMERICA
CUL,Culiacán International Airport,Culiacán,Mexico,NORTH AMERICA
DGO,Durango International Airport,Durango,Mexico,NORTH AMERICA
GDL,Miguel Hidalgo y Costilla Guadalajara International Airport,Guadalajara,Mexico,NORTH AMERICA
HMO,Hermosillo International Airport,Hermosillo,Mexico,NORTH AMERICA
HUX,Bahías de Huatulco International Airport,Huatulco,Mexico,NORTH AMERICA
ZIH,Ixtapa-Zihuatanejo International Airport,Ixtapa,Mexico,NORTH AMERICA
BJX,Bajío International Airport,León,Mexico,NORTH AMERICA
LTO,Loreto International Airport,Loreto,Mexico,NORTH AMERICA
SJD,Los Cabos International Airport,Los Cabos,Mexico,NORTH AMERICA
ZLO,Playa de Oro International Airport,Manzanillo,Mexico,NORTH AMERICA
MZT,Mazatlán International Airport,Mazatlán,Mexico,NORTH AMERICA
MID,Mérida International Airport,Mérida,Mexico,NORTH AMERICA
MEX,Mexico City International Airport,Mexico City,Mexico,NORTH AMERICA
NLU,Felipe Ángeles International Airport,Mexico City,Mexico,NORTH AMERICA
MTY,Monterrey International Airport,Monterrey,Mexico,NORTH AMERICA
MLM,General Francisco Mujica International Airport,Morelia,Mexico,NORTH AMERICA
OAX,Oaxaca International Airport,Oaxaca City,Mexico,NORTH AMERICA
PBC,Puebla International Airport,Puebla,Mexico,NORTH AMERICA
PXM,Puerto Escondido International Airport,Puerto Escondido,Mexico,NORTH AMERICA
PVR,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,NORTH AMERICA
QRO,Querétaro Intercontinental Airport,Querétaro City,Mexico,NORTH AMERICA
REX,General Lucio Blanco International Airport,Reynosa,Mexico,NORTH AMERICA
SLW,Saltillo Airport,Saltillo,Mexico,NORTH AMERICA
SLP,San Luis Potosí International Airport,San Luis Potosí City,Mexico,NORTH AMERICA
TAM,Tampico International Airport,Tampico,Mexico,NORTH AMERICA
TIJ,Tijuana International Airport,Tijuana,Mexico,NORTH AMERICA
TLC,Toluca International Airport,Toluca,Mexico,NORTH AMERICA
TRC,Torreón International Airport,Torreón,Mexico,NORTH AMERICA
TGZ,Tuxtla Gutiérrez International Airport,Tuxtla Gutiérrez,Mexico,NORTH AMERICA
UPN,Uruapan International Airport,Uruapan,Mexico,NORTH AMERICA
VER,Veracruz International Airport,Veracruz,Mexico,NORTH AMERICA
VSA,Villahermosa International Airport,Villahermosa,Mexico,NORTH AMERICA
ZCL,Zacatecas International Airport,Zacatecas City,Mexico,NORTH AMERICA
FSP,Saint-Pierre Airport,Saint-Pierre,Saint Pierre and Miquelon,NORTH AMERICA
AKC,Akron Executive Airport,Akron,United States,NORTH AMERICA
ALB,Albany International Airport,Albany,United States,NORTH AMERICA
ABQ,Albuquerque International Sunport,Albuquerque,United States,NORTH AMERICA
ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,NORTH AMERICA
ATW,Appleton International Airport,Appleton,United States,NORTH AMERICA
ATL,Hartsfield–Jackson Atlanta International Airport,Atlanta,United States,NORTH AMERICA
ACY,Atlantic City International Airport,Atlantic City,United States,NORTH AMERICA
AUS,Austin–Bergstrom International Airport,Austin (TX),United States,NORTH AMERICA
BWI,Baltimore/Washington International Airport,Baltimore,United States,NORTH AMERICA
BGR,Bangor International Airport,Bangor,United States,NORTH AMERICA
BLI,Bellingham International Airport,Bellingham,United States,NORTH AMERICA
BHM,Birmingham–Shuttlesworth International Airport,Birmingham,United States,NORTH AMERICA
BOI,Boise Airport,Boise,United States,NORTH AMERICA
BOS,Logan International Airport,Boston,United States,NORTH AMERICA
BUF,Buffalo Niagara International Airport,Buffalo,United States,NORTH AMERICA
CLT,Charlotte Douglas International Airport,Charlotte,United States,NORTH AMERICA
CHS,Charleston International Airport,Charleston (SC),United States,NORTH AMERICA
MDW,Midway International Airport,Chicago,United States,NORTH AMERICA
ORD,O'Hare International Airport,Chicago,United States,NORTH AMERICA
CVG,Cincinnati/Northern Kentucky International Airport,Cincinnati,United States,NORTH AMERICA
CLE,Cleveland Hopkins International Airport,Cleveland,United States,NORTH AMERICA
CMH,John Glenn Columbus International Airport,Columbus (OH),United States,NORTH AMERICA
LCK,Rickenbacker International Airport,Columbus (OH),United States,NORTH AMERICA
DFW,Dallas/Fort Worth International Airport,Dallas,United States,NORTH AMERICA
DAY,Dayton International Airport,Dayton (OH),United States,NORTH AMERICA
DEN,Denver International Airport,Denver,United States,NORTH AMERICA
DSM,Des Moines International Airport,Des Moines (IA),United States,NORTH AMERICA
DTW,Detroit Metropolitan Airport,Detroit,United States,NORTH AMERICA
ELP,El Paso International Airport,El Paso,United States,NORTH AMERICA
FAI,Fairbanks International Airport,Fairbanks,United States,NORTH AMERICA
FLL,Fort Lauderdale–Hollywood International Airport,Fort Lauderdale,United States,NORTH AMERICA
RSW,Southwest Florida International Airport,Fort Myers,United States,NORTH AMERICA
FAT,Fresno Yosemite International Airport,Fresno,United States,NORTH AMERICA
GRR,Gerald R. Ford International Airport,Grand Rapids,United States,NORTH AMERICA
GRB,Green Bay–Austin Straubel International Airport,Green Bay,United States,NORTH AMERICA
GSO,Piedmont Triad International Airport,Greensboro,United States,NORTH AMERICA
MDT,Harrisburg International Airport,Harrisburg,United States,NORTH AMERICA
BDL,Bradley International Airport,Hartford (CT),United States,NORTH AMERICA
ITO,Hilo International Airport,Hilo,United States,NORTH AMERICA
HNL,Daniel K. Inouye International Airport,Honolulu,United States,NORTH AMERICA
IAH,George Bush Intercontinental Airport,Houston,United States,NORTH AMERICA
HOU,William P. Hobby Airport,Houston,United States,NORTH AMERICA
HSV,Huntsville International Airport,Huntsville (AL),United States,NORTH AMERICA
IND,Indianapolis International Airport,Indianapolis,United States,NORTH AMERICA
JAN,Jackson–Medgar Wiley Evers International Airport,Jackson (MS),United States,NORTH AMERICA
JAX,Jacksonville International Airport,Jacksonville,United States,NORTH AMERICA
JNU,Juneau International Airport,Juneau,United States,NORTH AMERICA
MCI,Kansas City International Airport,Kansas City (MO),United States,NORTH AMERICA
KTN,Ketchikan International Airport,Ketchikan,United States,NORTH AMERICA
EYW,Key West International Airport,Key West,United States,NORTH AMERICA
KOA,Kona International Airport,Kailua-Kona,United States,NORTH AMERICA
TYS,McGhee Tyson Airport,Knoxville,United States,NORTH AMERICA
LAL,Lakeland Linder International Airport,Lakeland,United States,NORTH AMERICA
LAN,Capital Region International Airport,Lansing,United States,NORTH AMERICA
LAS,Harry Reid International Airport,Las Vegas,United States,NORTH AMERICA
LIT,Clinton National Airport,Little Rock,United States,NORTH AMERICA
LAX,Los Angeles International Airport,Los Angeles,United States,NORTH AMERICA
SDF,Louisville Muhammad Ali International Airport,Louisville,United States,NORTH AMERICA
MLB,Melbourne Orlando International Airport,Melbourne (FL),United States,NORTH AMERICA
